# Col1, Col2, Col3, Col4
0.794,0.774,0.272,0.305
0.070,0.458,0.826,0.622
0.742,0.782,0.596,0.613
0.112,0.876,0.376,0.020
0.302,0.857,0.273,0.411
0.093,0.635,0.393,0.733
0.898,0.363,0.387,0.905
0.701,0.873,0.367,0.836
0.214,0.939,0.328,0.988
0.990,0.362,0.314,0.865
0.436,0.164,0.776,0.667
0.813,0.585,0.927,0.345
0.562,0.635,0.821,0.314
0.901,0.906,0.355,0.955
0.508,0.323,0.471,0.229
0.947,0.297,0.838,0.104
0.027,0.926,0.566,0.560
0.498,0.443,0.606,0.656
0.342,0.809,0.405,0.812
0.735,0.770,0.726,0.517
